Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
	246.0862	M(S34)+H[1+]	-0.0024
	200.1043	M-CO2+H[1+]	0.0013
	198.0884	M-HCOOH+H[1+]	0.001
	216.0985	M-CO+H[1+]	0.0007
	216.0981	M-CO+H[1+]	0.0003
	176.1047	M-HCOONa+H[1+]	-0.0007
	208.073	M-H4O2+H[1+]	0.0014
	176.1045	M-HCOONa+H[1+]	-0.0009
	198.0887	M-HCOOH+H[1+]	0.0013
	200.1041	M-CO2+H[1+]	0.0011
	176.1048	M-HCOONa+H[1+]	-0.0006
	200.102	M-CO2+H[1+]	-0.001
	198.0886	M-HCOOH+H[1+]	0.0012
	312.0785	M+HCOONa[1+]	-0.0017
	198.0872	M-HCOOH+H[1+]	-0.0002
	246.0866	M(S34)+H[1+]	-0.002
	172.0727	M-C3H4O2+H[1+]	0.001
	216.0992	M-CO+H[1+]	0.0014
	198.0891	M-HCOOH+H[1+]	0.0017
	266.0733	M+Na[1+]	-0.0015
	198.0893	M-HCOOH+H[1+]	0.0019
	244.0915	M+H[1+]	-0.0013
CE6193	18-carboxy-dinor-LTE4	11	439.1665
	462.1512	M+Na[1+]	-0.0045
	396.1805	M-CO2+H[1+]	-0.0034
	396.1809	M-CO2+H[1+]	-0.003
	404.1546	M-H4O2+H[1+]	0.0021
	422.1617	M-H2O+H[1+]	-0.0014
	368.1552	M-C3H4O2+H[1+]	0.0026
	368.1545	M-C3H4O2+H[1+]	0.0019
	372.1876	M-HCOONa+H[1+]	0.0013
	368.1499	M-C3H4O2+H[1+]	-0.0027
	368.1509	M-C3H4O2+H[1+]	-0.0017
	478.1247	M+K[1+]	-0.0045
	396.1808	M-CO2+H[1+]	-0.0031
	396.1811	M-CO2+H[1+]	-0.0028
	396.1821	M-CO2+H[1+]	-0.0018
	394.1652	M-HCOOH+H[1+]	-0.0031
	396.1807	M-CO2+H[1+]	-0.0032
CE4995	10,11-dihydro-12R-hydroxy-leukotriene E4	13	456.242
	456.2431	M[1+]	0.0011
	495.2013	M+K[1+]	-0.0035
	459.2405	M(S34)+H[1+]	-0.0046
	458.2502	M(C13)+H[1+]	-0.0025
	456.2455	M[1+]	0.0035
	456.2452	M[1+]	0.0032
	456.2456	M[1+]	0.0036
	459.2407	M(S34)+H[1+]	-0.0044
	456.2419	M[1+]	-0.0001
