m/z	retention time	p-value	statistic
672.13574	9.388998	2.0	1000.0
330.23932	10.059044	2.0	1000.0
470.35815	15.400909	2.0	1000.0
206.15065	5.771978	2.0	1000.0
521.27814	8.735028	2.0	1000.0
673.27997	16.772009	2.0	1000.0
213.05847	4.604986	2.0	1000.0
592.395	16.532114	2.0	1000.0
427.34576	16.774963	2.0	1000.0
475.1836	3.703986	2.0	1000.0
434.2882	12.708985	2.0	1000.0
135.06842	0.8880004	2.0	1000.0
457.3393	13.51804	2.0	1000.0
351.16843	5.3490324	2.0	1000.0
524.2081	11.200035	2.0	1000.0
720.49884	14.583985	2.0	1000.0
330.2017	6.5949755	2.0	1000.0
707.50476	14.63194	2.0	1000.0
271.12198	9.242998	2.0	1000.0
196.12115	4.760988	2.0	1000.0
560.40564	14.78308	2.0	1000.0
336.20972	6.8559713	2.0	1000.0
268.2035	12.657078	2.0	1000.0
148.0328	6.2580376	2.0	1000.0
442.23126	13.020018	2.0	1000.0
58.04192	7.2519684	2.0	1000.0
170.1307	7.5869646	2.0	1000.0
322.26218	10.900923	2.0	1000.0
162.08783	4.045016	2.0	1000.0
371.33948	12.923947	2.0	1000.0
168.11453	7.4640484	2.0	1000.0
320.28317	11.371054	2.0	1000.0
342.1462	12.900916	2.0	1000.0
424.12903	9.904974	2.0	1000.0
117.07938	0.8640052	2.0	1000.0
261.15396	7.2470202	2.0	1000.0
402.23218	7.7360344	2.0	1000.0
516.27716	5.3000274	2.0	1000.0
210.17328	6.909968	2.0	1000.0
213.24527	9.819982	2.0	1000.0
847.50745	12.923947	2.0	1000.0
164.04736	1.2550036	2.0	1000.0
139.09935	5.969976	2.0	1000.0
181.18259	5.537025	2.0	1000.0
156.11514	6.3159785	0.03	2.1775608803004722
282.21954	13.062011	2.0	1000.0
577.1788	4.2399917	2.0	1000.0
277.24	9.527994	2.0	1000.0
431.30258	10.022962	2.0	1000.0
472.33676	13.879917	2.0	1000.0
394.2697	12.954066	2.0	1000.0
407.0766	6.8640122	2.0	1000.0
164.0835	7.3820286	2.0	1000.0
296.23544	13.051903	2.0	1000.0
250.1767	5.69898	2.0	1000.0
803.48157	12.948095	2.0	1000.0
236.09032	0.8269975	2.0	1000.0
277.24036	9.871048	2.0	1000.0
392.2	14.857936	2.0	1000.0
891.53375	12.900916	2.0	1000.0
336.22824	11.09703	2.0	1000.0
359.35446	12.882951	2.0	1000.0
263.22534	10.398961	2.0	1000.0
184.14613	8.645017	2.0	1000.0
311.1524	11.3530245	2.0	1000.0
260.2351	13.375	2.0	1000.0
267.18262	5.5209966	2.0	1000.0
118.07842	8.62402	2.0	1000.0
381.4324	13.222052	2.0	1000.0
414.20425	11.056999	2.0	1000.0
308.2085	7.094975	2.0	1000.0
438.17316	6.5290356	2.0	1000.0
156.07652	1.0320044	2.0	1000.0
309.19547	7.3100424	2.0	1000.0
346.06873	10.117011	2.0	1000.0
397.3915	13.341931	2.0	1000.0
148.97025	4.3000226	2.0	1000.0
180.12622	4.3990088	2.0	1000.0
290.18604	11.868035	2.0	1000.0
132.02335	0.8720028	2.0	1000.0
187.06268	2.8699958	2.0	1000.0
472.19705	13.094093	2.0	1000.0
478.25443	12.90906	2.0	1000.0
376.3458	13.0	2.0	1000.0
531.3757	12.881954	2.0	1000.0
184.10829	6.010009	2.0	1000.0
326.20837	11.902962	2.0	1000.0
189.12631	4.813984	2.0	1000.0
350.2934	11.624021	2.0	1000.0
484.3521	14.657098	2.0	1000.0
446.33966	15.613892	2.0	1000.0
246.21967	12.735959	0.03	2.1775608803004722
544.398	14.805072	2.0	1000.0
639.58105	14.248038	2.0	1000.0
814.50446	13.344096	2.0	1000.0
501.3652	13.51109	2.0	1000.0
274.05865	7.3200197	2.0	1000.0
216.09851	5.7250195	2.0	1000.0
171.1625	8.272964	2.0	1000.0
382.17065	9.208985	2.0	1000.0
248.17531	11.47704	2.0	1000.0
651.12915	10.497035	2.0	1000.0
707.4819	12.787072	2.0	1000.0
